Shot number,Date,Classification,Club type,Club name,Carry,Total,Offline,Offline carry,Shot angle,Peak height,Hang time,Club speed,Ball speed,Smash factor,Push/pull,Launch angle,Landing angle,Backspin,Sidespin,Curve,Curve factor,Angle of attack,Face to target,Club path,Face to path,Face impact X,Face impact Y,Strokes gained,Club score,Target score,Launch score,Direction score,Shape score,Total score
,,,,,[yds],[yds],[yds],[yds],[°],[yds],[seconds],[mph],[mph],,[°],[°],[°],[rpm],[rpm],[yds],,[°],[°],[°],[°],[mm],[mm],,,,,,,
62,2026-08-09T17:11:13.000Z,Underdraw,7 Iron,Default,166.7,174.3,16.7,16.1,4.3,28.0,5.8,80.0,115.2,1.4,6.79 R,18.2,42.7,4504,156 L,3.8,11.0,-1.4,5.87° open,5.38° in-to-out,0.49° open,,,0.2,4.5,8.3,8.5,4.5,6,31.8
63,2026-08-09T17:11:13.000Z,Push,7 Iron,Default,153.9,162.1,9.9,9.5,2.7,24.3,5.3,77.1,106.9,1.4,4.35 R,19.6,39.9,4743,156 L,2.2,7.0,-1.6,3.47° open,3.3° in-to-out,0.17° open,,,0.7,5.4,6.2,7,6.9,3,28.5
64,2026-08-09T17:11:13.000Z,Push,7 Iron,Default,161.9,169.1,14.9,14.1,6.0,26.9,5.8,82.9,117.1,1.4,3.99 R,15.7,43.0,5970,156 R,2.8,9.0,-5.1,3.48° open,1.58° in-to-out,1.9° open,,,0.7,8.3,8.6,8.8,4.5,3,33.2
65,2026-08-09T17:11:13.000Z,Baby Draw,7 Iron,Default,162.6,170.5,1.6,1.3,-2.4,26.7,5.7,79.7,113.9,1.4,1.53 R,17.9,41.9,4714,312 L,5.6,17.0,-1.9,0.7° open,1.63° in-to-out,0.93° closed,,,2.6,6.9,10,8.9,10,10,45.8
66,2026-08-09T17:11:13.000Z,Push,,,183.3,190.2,13.9,13.4,4.3,35.0,6.5,85.7,125.6,1.5,4.04 R,17.9,45.5,4968,0,0.4,1.0,-1.1,3.41° open,2.15° in-to-out,1.26° open,,,0.1,9.4,6.8,8.5,6.1,3,33.8
67,2026-08-09T17:11:13.000Z,Baby Draw,7 Iron,Default,175.5,182.2,0.1,0.3,-3.4,32.4,6.2,83.1,121.0,1.5,3.58 R,18.8,44.8,4680,625 L,10.7,31.0,-0.3,2.58° open,4.32° in-to-out,1.74° closed,,,0.8,6.6,10,8.5,10,10,45.1
68,2026-08-09T17:11:13.000Z,Huge Hook,7 Iron,Default,162.5,172.8,23.3,20.6,-15.0,21.7,5.3,81.2,117.3,1.4,0.42 R,14.6,37.0,4599,1562 L,21.8,67.0,-2.9,1.49° closed,5.99° in-to-out,7.48° closed,,,0.1,1.5,6.2,7.7,3,0,18.4
69,2026-08-09T17:11:13.000Z,Huge Push,7 Iron,Default,143.0,161.4,36.5,31.4,16.0,19.2,4.3,76.0,100.1,1.3,9.22 R,22.9,32.3,1822,469 R,8.2,29.0,-0.3,8.56° open,4.67° in-to-out,3.89° open,,,-0.2,2.8,0.3,2.9,0.6,0,6.6
70,2026-08-09T17:11:13.000Z,Straight Draw,7 Iron,Default,153.4,162.8,12.3,10.9,-8.9,22.4,5.1,77.9,109.9,1.4,0.71 R,17.6,39.2,3854,937 L,12.8,42.0,-1.4,0.6° closed,3.55° in-to-out,4.15° closed,,,0.7,3.7,6.1,6.7,6.1,6,28.6
71,2026-08-09T17:11:13.000Z,Huge Push Slice,7 Iron,Default,165.2,172.0,55.2,52.2,25.0,31.5,5.7,82.6,112.6,1.4,11.38 R,23.0,44.0,2661,1250 R,19.0,58.0,2.7,11.2° open,3.68° in-to-out,7.52° open,,,-0.4,3.9,0,4.3,0,0,8.2
72,2026-08-09T17:11:13.000Z,Push Slice,7 Iron,Default,165.6,171.7,33.8,32.1,16.3,32.2,6.0,80.5,115.3,1.4,5.93 R,20.5,45.1,4533,1250 R,14.9,45.0,-0.2,6.11° open,0.03° out-to-in,6.14° open,,,-0.1,4.2,0.7,7.6,0,0,12.5
73,2026-08-09T17:11:13.000Z,Huge Push Slice,7 Iron,Default,107.7,122.2,39.9,34.1,23.4,15.2,3.5,69.7,88.0,1.3,12.93 R,23.4,31.7,1498,938 R,9.3,43.0,-0.7,12.43° open,5.23° in-to-out,7.2° open,,,-0.5,0.6,0,2.6,0,0,3.2
74,2026-08-09T17:11:13.000Z,Baby Draw,7 Iron,Default,173.2,181.2,4.4,4.4,-0.3,28.5,5.9,81.9,119.3,1.5,3.2 R,17.0,41.6,4588,312 L,5.3,15.0,-1.7,2.49° open,2.89° in-to-out,0.4° closed,,,0.8,7.1,10,8.7,8.4,10,44.2
75,2026-08-09T17:11:13.000Z,Huge Push,7 Iron,Default,94.1,112.5,21.0,17.1,12.4,10.8,3.3,63.9,80.6,1.3,8.41 R,19.2,28.2,2561,625 R,3.2,17.0,0.0,8.03° open,3.45° in-to-out,4.58° open,,,-0.1,3,0,4.4,0,0,7.4
76,2026-08-09T17:11:13.000Z,Underdraw,7 Iron,Default,170.5,179.5,8.4,8.2,1.6,27.6,5.7,80.2,113.8,1.4,3.85 R,20.0,41.3,3284,156 L,3.3,10.0,1.6,3.12° open,2.65° in-to-out,0.47° open,,,0.7,6.6,10,6,7.7,6,36.2
77,2026-08-09T17:11:13.000Z,Push,7 Iron,Default,159.6,169.5,11.9,11.2,4.2,23.8,5.3,77.3,108.0,1.4,3.87 R,18.9,37.8,4364,156 R,0.4,1.0,-1.5,3.34° open,1.58° in-to-out,1.76° open,,,0.8,6.4,8,6.8,5.3,3,29.5
78,2026-08-09T17:11:13.000Z,Push,7 Iron,Default,146.0,166.2,22.7,19.1,10.5,12.0,4.4,82.7,114.7,1.4,4.5 R,7.7,27.2,5147,938 R,7.6,26.0,-5.3,4.8° open,0.61° out-to-in,5.41° open,,,0.1,5.6,3.9,5.5,0,3,18
79,2026-08-09T17:11:13.000Z,Huge Push Slice,7 Iron,Default,151.7,156.6,40.3,38.5,20.2,30.0,5.7,78.7,104.3,1.3,9.01 R,24.5,43.6,4261,1719 R,14.5,48.0,0.3,9.61° open,0.95° in-to-out,8.66° open,,,-0.2,3.7,0,3.8,0,0,7.5
80,2026-08-09T17:11:13.000Z,Push,7 Iron,Default,137.5,142.5,14.1,13.6,6.0,23.2,5.1,73.2,97.8,1.3,5.37 R,22.3,39.8,5094,313 R,0.7,2.0,-1.4,5.1° open,2.27° in-to-out,2.83° open,,,0.3,5.2,1.2,5.9,3,3,18.3
81,2026-08-09T17:11:13.000Z,Top,5 Iron,Default,78.5,120.9,7.5,4.2,4.5,5.8,2.2,69.0,86.5,1.3,1.56 R,15.9,17.8,246,156 R,2.1,13.0,0.0,1.07° open,0.09° out-to-in,1.16° open,,,0.1,6,0,4.9,9.2,0,20.1
82,2026-08-09T17:11:13.000Z,Slight Push,5 Iron,Default,149.9,167.8,2.2,2.1,0.2,16.0,4.6,77.8,108.3,1.4,1.38 R,13.9,29.9,3731,156 L,1.5,5.0,-2.0,0.6° open,0.95° in-to-out,0.35° closed,,,0.6,6.4,0,6,10,6,28.4
83,2026-08-09T17:11:13.000Z,Baby Draw,5 Iron,Default,136.3,160.7,0.6,0.4,-2.4,12.5,4.0,74.4,102.7,1.4,2.78 R,13.7,25.6,3189,625 L,6.2,23.0,-1.4,1.75° open,4.43° in-to-out,2.68° closed,,,0.5,3.7,0,4.8,10,10,28.5
84,2026-08-09T17:11:13.000Z,Huge Push Slice,5 Iron,Default,191.3,202.6,51.4,47.7,18.6,27.2,5.9,84.3,126.7,1.5,10.09 R,15.2,38.6,3637,1094 R,13.7,36.0,0.2,9.83° open,2.9° in-to-out,6.93° open,,,-0.2,5.2,0,8.1,0,0,13.2
85,2026-08-09T17:11:13.000Z,Huge Hook,5 Iron,Default,170.0,188.7,34.9,28.9,-18.5,17.9,4.9,82.4,122.6,1.5,1.07 L,12.4,31.4,3461,10000 L,25.7,76.0,-1.9,13.99° closed,0.14° in-to-out,14.13° closed,,,0.0,4.9,2.9,6.6,0,0,14.4
86,2026-08-09T17:11:13.000Z,Push,5 Iron,Default,187.7,197.1,24.8,23.6,7.7,28.6,6.0,85.9,128.0,1.5,6.64 R,14.3,40.6,4576,313 R,1.7,5.0,-2.5,6.18° open,2.89° in-to-out,3.29° open,,,0.2,7.9,6.2,9.1,3,3,29.2
87,2026-08-09T17:11:13.000Z,Baby Draw,5 Iron,Default,114.7,145.8,5.6,3.2,-4.5,9.1,3.4,73.2,98.1,1.3,1.37 R,11.3,22.6,3192,625 L,5.9,26.0,-2.1,0.11° open,3.43° in-to-out,3.32° closed,,,0.3,4,0,3.8,10,10,27.7
88,2026-08-09T17:11:13.000Z,Huge Push,5 Iron,Default,76.0,115.2,17.9,12.3,8.3,5.1,2.3,65.4,80.9,1.2,10.16 R,13.1,16.7,1767,0,1.4,9.0,0.6,8.92° open,7.2° in-to-out,1.72° open,,,0.0,3,0,3.9,0,0,6.9
89,2026-08-09T17:11:13.000Z,Baby Draw,5 Iron,Default,169.3,182.2,1.4,0.3,-4.8,20.8,5.2,81.3,118.9,1.5,4.59 R,13.5,34.8,4049,781 L,13.9,41.0,-2.5,3.18° open,6.36° in-to-out,3.18° closed,,,1.5,3.6,4.6,7.9,10,10,36
90,2026-08-09T17:11:13.000Z,Baby Draw,5 Iron,Default,151.9,174.9,2.9,0.9,-5.1,15.0,4.4,77.7,109.5,1.4,4.45 R,14.0,27.5,3079,937 L,12.7,42.0,-1.2,2.91° open,6.88° in-to-out,3.97° closed,,,0.8,1.9,0,5,10,10,26.9
91,2026-08-09T17:11:13.000Z,Baby Draw,5 Iron,Default,186.2,197.7,1.0,1.7,-3.3,24.2,5.7,86.1,128.9,1.5,4.3 R,11.7,37.5,4547,625 L,12.3,33.0,-3.9,3.2° open,4.9° in-to-out,1.7° closed,,,1.5,7.4,10,7.9,10,10,45.3
92,2026-08-09T17:11:13.000Z,Huge Push,5 Iron,Default,134.8,181.1,36.3,26.4,12.3,5.5,3.4,82.3,117.2,1.4,10.16 R,4.3,14.1,3600,10000 R,2.3,8.0,-5.2,14.38° open,0.01° out-to-in,14.39° open,,,0.0,4.9,0,2.8,0,0,7.6
93,2026-08-09T17:11:13.000Z,Huge Push,5 Iron,Default,146.0,162.9,31.6,27.5,14.1,16.0,4.5,76.7,105.7,1.4,7.51 R,14.6,30.1,3853,938 R,8.3,28.0,-2.0,7.62° open,1.58° in-to-out,6.04° open,,,-0.1,3.3,0,6.5,0,0,9.7
94,2026-08-09T17:11:13.000Z,Baby Draw,5 Iron,Default,196.9,207.9,5.4,5.5,-0.5,28.2,6.1,89.4,135.2,1.5,3.68 R,12.1,41.0,4575,312 L,7.1,18.0,-3.6,2.95° open,3.15° in-to-out,0.2° closed,,,0.4,9.1,10,7.1,8.4,10,44.6
95,2026-08-09T17:11:13.000Z,Straight Draw,5 Iron,Default,186.8,198.1,12.2,10.9,-6.5,24.4,5.8,86.5,129.6,1.5,0.17 L,11.5,37.8,4666,703 L,10.3,28.0,-4.1,1.01° closed,2.13° in-to-out,3.14° closed,,,0.9,8.8,9.6,7.7,6.5,6,38.6
96,2026-08-09T17:11:13.000Z,Underdraw,5 Iron,Default,176.1,201.3,11.9,11.3,1.4,14.3,4.8,84.8,127.0,1.5,5.9 R,7.5,26.8,3899,156 L,6.9,20.0,-4.2,5.26° open,4.41° in-to-out,0.85° open,,,0.4,7.2,6.9,5.4,5.3,6,30.8
97,2026-08-09T17:11:13.000Z,Huge Push,5 Iron,Default,178.5,186.6,40.9,38.8,15.6,28.5,6.0,84.7,124.5,1.5,9.31 R,15.2,41.2,4883,1094 R,9.5,27.0,-2.8,9.17° open,2.41° in-to-out,6.76° open,,,-0.0,5.7,0,9.7,0,0,15.4
98,2026-08-09T17:11:13.000Z,Baby Draw,5 Iron,Default,185.8,195.1,6.8,6.7,0.4,27.3,6.0,87.5,130.6,1.5,3.69 R,12.4,40.2,5047,234 L,5.3,14.0,-4.5,3.01° open,2.9° in-to-out,0.11° open,,,1.5,9.3,10,7.6,7.7,10,44.5
99,2026-08-09T17:11:13.000Z,Baby Draw,5 Iron,Default,163.9,181.4,6.1,6.2,-0.3,16.5,4.9,82.8,120.5,1.5,4.58 R,9.7,31.9,4426,312 L,6.9,21.0,-4.4,3.76° open,4.13° in-to-out,0.37° closed,,,1.4,6.5,3,7.1,6.9,10,33.5
100,2026-08-09T17:11:13.000Z,Push,5 Iron,Default,162.0,174.8,27.2,24.7,11.6,20.2,5.1,79.6,113.8,1.4,5.88 R,14.3,34.5,4116,781 R,8.0,25.0,-2.9,5.98° open,0.91° in-to-out,5.07° open,,,0.5,4.5,2.7,7.5,0.6,3,18.3
101,2026-08-09T17:11:13.000Z,Huge Hook,5 Iron,Default,176.6,190.0,26.0,22.3,-15.9,20.9,5.3,84.6,126.6,1.5,1.35 R,11.8,34.8,4131,10000 L,26.5,75.0,-2.5,11.28° closed,2.16° in-to-out,13.44° closed,,,0.2,5.8,6.2,7.7,0,0,19.8
102,2026-08-09T17:11:13.000Z,Underdraw,5 Iron,Default,140.3,158.7,8.4,8.1,0.9,13.9,4.3,78.3,107.4,1.4,5.67 R,11.9,30.3,4132,469 L,5.9,21.0,-4.2,4.6° open,6.01° in-to-out,1.41° closed,,,0.4,3.5,0,6,6.1,6,21.6
103,2026-08-09T17:11:13.000Z,Push,5 Iron,Default,189.8,204.5,24.9,22.7,8.8,22.6,5.6,85.5,128.8,1.5,4.87 R,11.1,35.4,4035,469 R,6.5,17.0,-3.1,4.57° open,1.02° in-to-out,3.55° open,,,0.2,8.2,6.7,7,3.8,3,28.6
104,2026-08-09T17:11:13.000Z,Baby Draw,5 Iron,Default,148.8,169.1,2.8,3.8,-2.5,15.5,4.4,78.0,109.6,1.4,5.4 R,13.6,30.2,3447,625 L,10.3,35.0,-1.9,4.12° open,6.58° in-to-out,2.46° closed,,,0.6,3.1,0,5.4,8.1,10,26.5
105,2026-08-09T17:11:13.000Z,Pull Hook,5 Iron,Default,147.0,170.2,30.4,23.6,-17.0,13.2,4.3,79.7,113.2,1.4,1.4 L,11.3,26.6,3612,10000 L,20.0,68.0,-3.0,14.15° closed,0.18° out-to-in,13.97° closed,,,0.0,3.9,0,5.1,0,0,8.9
106,2026-08-09T17:11:13.000Z,Pull,8 Iron,Default,102.5,116.6,9.7,8.2,-6.4,14.0,3.7,66.1,82.6,1.3,2.69 L,21.6,32.2,2653,625 L,3.3,16.0,0.2,2.99° closed,0.23° in-to-out,3.22° closed,,,-0.0,5.1,0,4.6,5.3,3,18
107,2026-08-09T17:11:13.000Z,Huge Push Slice,8 Iron,Default,112.3,114.6,47.6,46.3,31.9,23.3,4.5,69.5,84.6,1.2,15.72 R,31.1,42.0,2694,10000 R,14.7,66.0,-2.4,11.27° open,3.47° out-to-in,14.74° open,,,-0.6,1.9,0,0.6,0,0,2.6
108,2026-08-09T17:11:13.000Z,Huge Push Slice,8 Iron,Default,113.8,119.5,24.0,22.5,14.9,19.3,4.4,69.2,86.1,1.2,7.81 R,24.8,38.0,3965,1250 R,6.9,30.0,-0.1,8.42° open,1.01° in-to-out,7.41° open,,,-0.0,3,0,3.7,0,0,6.7
109,2026-08-09T17:11:13.000Z,Push,8 Iron,Default,132.2,137.0,19.6,18.8,10.3,24.5,4.9,70.7,91.2,1.3,5.93 R,27.7,40.1,2564,469 R,5.0,19.0,-1.4,5.76° open,2.25° in-to-out,3.51° open,,,0.2,4.8,0,2.1,3,3,12.8
110,2026-08-09T17:11:13.000Z,Slight Push,,,178.1,190.0,6.1,5.7,1.8,31.3,5.5,85.7,117.1,1.4,1.84 R,23.2,43.9,2041,0,0.0,0.0,3.5,1.27° open,0.64° in-to-out,0.63° open,,,-0.1,9.7,3.7,5.2,9,6,33.6
111,2026-08-09T17:11:13.000Z,Push,8 Iron,Default,148.7,154.8,9.0,8.5,5.3,26.7,5.5,76.9,104.6,1.4,1.24 R,21.6,41.8,5469,625 R,5.2,18.0,-1.7,0.94° open,1.76° out-to-in,2.7° open,,,1.1,6.8,6.5,8.4,5.3,3,30
112,2026-08-09T17:11:13.000Z,Push,,,162.4,169.1,9.3,8.9,2.9,31.4,5.9,80.6,110.8,1.4,3.39 R,22.7,43.1,3902,0,0.7,2.0,0.5,2.88° open,1.74° in-to-out,1.14° open,,,0.6,9.1,9.8,6.5,7.3,3,35.7
113,2026-08-09T17:11:13.000Z,Baby Draw,,,161.4,174.0,1.9,1.0,-3.9,19.8,5.1,81.3,116.6,1.4,3.19 R,12.8,34.7,4697,781 L,10.0,31.0,-4.6,1.98° open,5.28° in-to-out,3.3° closed,,,0.6,6,10,4.4,10,10,40.4
114,2026-08-09T17:11:13.000Z,Baby Draw,8 Iron,Default,151.5,166.6,1.9,2.4,-1.6,16.3,4.7,80.5,113.8,1.4,3.39 R,11.8,32.2,4521,469 L,6.6,22.0,-5.1,2.47° open,4.08° in-to-out,1.61° closed,,,1.3,7.5,7.6,4.2,10,10,39.3
115,2026-08-09T17:11:13.000Z,Dead Straight,,,168.0,174.4,1.2,1.0,-1.1,33.1,6.1,81.7,117.1,1.4,0.36 R,20.9,44.3,4502,156 L,2.1,6.0,0.0,0.13° closed,0.23° in-to-out,0.36° closed,,,0.6,9.6,7.8,7.1,10,10,44.5
116,2026-08-09T17:11:13.000Z,Push,8 Iron,Default,109.5,118.8,16.9,15.4,9.5,16.1,4.1,65.9,85.3,1.3,6.59 R,21.9,34.7,4578,625 R,2.7,13.0,-1.3,6.44° open,2.16° in-to-out,4.28° open,,,-0.0,4.2,0,5.6,0,3,12.8
117,2026-08-09T17:11:13.000Z,Huge Push Slice,8 Iron,Default,125.9,142.4,89.8,77.3,48.2,17.1,3.9,72.9,96.8,1.3,23.51 R,23.3,31.6,1656,10000 R,22.6,90.0,-0.5,13.43° open,4.81° out-to-in,18.24° open,,,-0.7,1.2,0,4.1,0,0,5.2
118,2026-08-09T17:11:13.000Z,Huge Push,8 Iron,Default,157.6,167.4,24.6,22.9,9.4,21.3,5.3,81.3,114.9,1.4,7.25 R,13.7,36.7,5287,469 R,2.9,9.0,-5.3,6.86° open,3° in-to-out,3.86° open,,,-0.1,7.3,4.6,6.1,1.4,0,19.4
119,2026-08-09T17:11:13.000Z,Baby Draw,8 Iron,Default,157.9,165.5,1.0,0.4,-4.1,30.1,5.6,80.5,106.4,1.3,3.79 R,24.2,42.6,2731,547 L,10.9,35.0,0.4,2.7° open,4.53° in-to-out,1.83° closed,,,1.4,7.2,10,5.1,10,10,42.3
120,2026-08-09T17:11:13.000Z,Push,8 Iron,Default,149.0,152.6,10.1,9.9,3.1,32.7,5.8,80.9,106.3,1.3,4.53 R,25.5,45.3,4581,0,1.9,6.0,0.3,3.85° open,2.57° in-to-out,1.28° open,,,0.7,8.8,6.7,5.6,6.1,3,30.2
121,2026-08-09T17:11:13.000Z,Huge Push Slice,8 Iron,Default,142.5,148.7,46.8,44.5,21.8,23.7,5.1,73.5,100.0,1.4,14 R,22.1,38.7,3858,1563 R,9.0,32.0,-0.3,13.9° open,4.54° in-to-out,9.36° open,,,-0.4,1.5,0,5.2,0,0,6.6
122,2026-08-09T17:11:13.000Z,Push,8 Iron,Default,154.4,158.3,18.5,17.9,9.4,36.0,6.2,82.7,112.1,1.4,3.83 R,24.9,47.1,5068,625 R,7.5,24.0,0.2,3.68° open,0.19° in-to-out,3.49° open,,,0.1,8.8,7.1,7.1,3,3,28.9
123,2026-08-09T17:11:13.000Z,Huge Push,8 Iron,Default,142.5,145.6,26.8,26.1,12.9,31.1,5.6,79.7,98.5,1.2,8.07 R,28.6,44.5,3277,625 R,5.9,21.0,-1.1,7.93° open,3.48° in-to-out,4.45° open,,,0.2,5.8,2,2,0.6,0,10.4
124,2026-08-09T17:11:13.000Z,Dead Straight,8 Iron,Default,111.3,123.7,2.9,2.4,-2.2,15.0,4.0,66.7,87.6,1.3,0.3 L,20.2,33.6,3941,469 L,1.8,8.0,-1.2,1.38° closed,0.96° in-to-out,2.34° closed,,,0.1,5.8,0,5.3,10,10,31
125,2026-08-09T17:11:13.000Z,Pull Hook,,,222.7,264.9,31.6,23.9,-10.6,16.6,4.9,96.8,153.8,1.6,1.69 L,9.4,22.8,2208,547 L,17.3,39.0,1.6,2.29° closed,0.75° in-to-out,3.04° closed,,,-0.8,5.3,0,0.4,6.5,0,12.2
126,2026-08-09T17:11:13.000Z,Huge Push,,,227.9,241.3,64.4,60.6,16.3,36.3,6.7,91.3,140.5,1.5,14.07 R,16.6,41.0,2989,469 R,3.5,8.0,6.0,12.08° open,7.84° in-to-out,4.24° open,,,-0.7,2.5,0,3.4,0,0,5.9
127,2026-08-09T17:11:13.000Z,Huge Hook,,,193.7,230.8,49.2,38.4,-16.8,12.4,4.7,89.2,139.3,1.6,5.95 L,6.5,22.4,3047,10000 L,18.2,47.0,-4.8,13.2° closed,0.5° out-to-in,12.7° closed,,,-0.7,5.2,0,0.1,0,0,5.2
128,2026-08-09T17:11:13.000Z,Huge Hook,,,231.0,261.7,42.8,34.1,-16.3,23.3,5.5,95.4,150.4,1.6,0.72 L,12.4,29.9,2241,10000 L,31.2,68.0,6.3,13.76° closed,0.61° in-to-out,14.37° closed,,,-0.8,3.2,0,1.6,0,0,4.8
129,2026-08-09T17:11:13.000Z,Nuclear Hook,,,225.2,237.0,52.3,47.2,-24.6,34.5,6.7,99.2,153.9,1.6,0.32 R,12.2,41.9,4356,10000 L,48.5,100.0,-3.4,12.11° closed,1.55° in-to-out,13.66° closed,,,-0.7,3,0,2.3,0,0,5.3
130,2026-08-09T17:11:13.000Z,Huge Push Draw,,,254.4,274.5,19.5,19.2,1.0,33.4,6.8,99.3,156.8,1.6,7.63 R,11.7,36.9,3051,391 L,14.9,29.0,2.0,6.64° open,5.95° in-to-out,0.69° open,,,-0.8,3.1,0,1.4,7.3,0,11.7
131,2026-08-09T17:11:13.000Z,Straight Draw,,,226.6,259.1,19.5,14.8,-8.3,18.5,5.4,95.3,150.7,1.6,0.84 R,8.2,27.1,2818,625 L,18.1,40.0,-3.8,0.25° closed,2.32° in-to-out,2.57° closed,,,-0.7,5.6,0,0,7.7,6,19.3
132,2026-08-09T17:11:13.000Z,Huge Pull Fade,8 Iron,Default,24.6,31.1,3.9,3.5,-3.4,4.3,1.9,36.0,36.5,1.0,12.87 L,34.0,36.7,3881,0,2.1,42.0,-2.8,10.45° closed,10.78° out-to-in,0.33° open,,,-0.5,3,0,0.4,0,0,3.4
133,2026-08-09T17:11:13.000Z,Huge Push Draw,,,260.8,284.2,26.1,24.9,3.0,34.2,6.8,99.4,157.8,1.6,7.92 R,12.8,37.0,2612,273 L,11.4,22.0,5.8,7.02° open,5.72° in-to-out,1.3° open,,,-0.9,3.2,0,1.8,7.1,0,12.1
134,2026-08-09T17:11:13.000Z,Baby Draw,,,256.3,272.2,2.1,1.4,-2.5,40.6,7.2,99.4,156.6,1.6,1.88 R,13.8,41.3,3251,312 L,9.8,19.0,4.7,1.09° open,2.25° in-to-out,1.16° closed,,,-0.8,5.8,0,2.3,10,10,28.1
135,2026-08-09T17:11:13.000Z,Huge Push Slice,,,228.6,239.2,76.7,71.8,27.4,42.3,7.1,97.1,149.7,1.5,8.84 R,16.0,45.8,4089,2031 R,36.2,79.0,1.6,9.03° open,0.28° in-to-out,8.75° open,,,-0.8,3.1,0,3.6,0,0,6.7
136,2026-08-09T17:11:13.000Z,Push Slice,,,235.0,253.3,34.7,31.0,11.8,28.9,6.4,94.5,147.5,1.6,3.34 R,11.6,34.1,3143,781 R,17.3,37.0,-0.6,3.35° open,0.56° out-to-in,3.91° open,,,-0.7,4.9,0,1.3,3.8,0,10
137,2026-08-09T17:11:13.000Z,Huge Push Slice,,,226.8,237.4,88.1,83.1,28.1,42.0,7.1,94.8,145.2,1.5,14.13 R,16.4,45.4,3923,2031 R,26.0,57.0,2.5,13.93° open,3.14° in-to-out,10.79° open,,,-0.8,2.4,0,3.7,0,0,6.1
138,2026-08-09T17:11:13.000Z,Straight Draw,,,217.3,231.8,25.3,22.3,-12.1,25.8,6.2,95.7,148.5,1.6,0.33 R,7.9,38.1,4488,1250 L,23.5,54.0,-5.7,0.83° closed,4.21° in-to-out,5.04° closed,,,-0.6,2.3,0,1,3.8,6,13
139,2026-08-09T17:11:13.000Z,Huge Slice,Driver,Default,224.5,235.0,54.6,51.1,19.5,41.6,7.1,93.8,143.7,1.5,6.65 R,16.8,44.0,3701,1172 R,24.9,56.0,4.7,6.61° open,0.15° in-to-out,6.46° open,,,-0.2,3.6,5.7,5.8,0,0,15.1
140,2026-08-09T17:11:13.000Z,Underdraw,Driver,Default,178.8,183.8,7.6,7.5,1.2,50.5,7.2,93.7,128.5,1.4,3.63 R,26.7,50.5,5010,156 L,3.8,11.0,3.7,2.87° open,2.63° in-to-out,0.24° open,,,0.4,6.2,5.8,0.8,7.7,6,26.5
141,2026-08-09T17:11:13.000Z,Pull Hook,Driver,Default,223.1,255.8,45.0,36.6,-14.7,23.1,5.4,92.1,144.2,1.6,4.12 L,14.1,28.5,1961,10000 L,20.6,46.0,6.8,13.5° closed,0.35° out-to-in,13.15° closed,,,-0.2,3.4,6.9,7.6,0,0,17.9
142,2026-08-09T17:11:13.000Z,Straight Draw,Driver,Default,201.3,245.9,11.3,7.6,-4.8,15.7,4.4,89.1,139.8,1.6,0.43 R,11.6,22.8,1820,273 L,9.1,23.0,5.0,0.03° closed,0.98° in-to-out,1.01° closed,,,0.6,6.1,6.9,5.6,8.8,6,33.4
143,2026-08-09T17:11:13.000Z,Straight Draw,Driver,Default,225.0,254.0,18.6,15.2,-6.7,21.7,5.6,92.1,144.5,1.6,1 L,10.6,29.7,2669,469 L,11.3,25.0,1.8,1.58° closed,0.68° in-to-out,2.26° closed,,,0.4,6.2,8,4.2,7.3,6,31.6
144,2026-08-09T17:11:13.000Z,Straight Slice,Driver,Default,223.8,240.1,29.7,26.1,12.8,28.1,6.2,92.6,143.7,1.6,0.65 R,11.1,36.5,3452,1094 R,23.6,53.0,-2.6,0.44° open,2.18° out-to-in,2.62° open,,,0.4,5.8,7.8,3.5,4.1,3,24.3
145,2026-08-09T17:11:13.000Z,Huge Slice,Driver,Default,208.7,221.5,29.5,26.5,13.8,28.5,6.3,92.1,141.4,1.5,0.77 R,10.1,38.3,4405,1328 R,23.7,57.0,-4.8,0.63° open,2.61° out-to-in,3.24° open,,,0.6,5,7.2,2.8,3,0,17.9
146,2026-08-09T17:11:13.000Z,Baby Draw,Driver,Default,172.4,176.7,3.4,3.5,-1.8,52.4,7.3,95.3,124.1,1.3,4.07 R,29.4,51.3,5030,469 L,8.8,25.0,4.0,2.95° open,4.22° in-to-out,1.27° closed,,,0.3,5.3,5.6,0,8.4,10,29.4
147,2026-08-09T17:11:13.000Z,Straight Draw,Driver,Default,229.7,254.7,20.9,17.0,-9.0,24.1,5.9,93.2,146.0,1.6,0.53 R,11.2,31.1,2770,703 L,19.1,42.0,2.3,0.56° closed,2.8° in-to-out,3.36° closed,,,0.4,4.9,8,4.3,6.9,6,30.1
148,2026-08-09T17:11:13.000Z,Pull Hook,Driver,Default,201.3,237.3,42.1,33.1,-14.5,18.0,4.8,88.2,137.4,1.6,4.35 L,12.5,25.8,2050,10000 L,17.8,44.0,5.0,13.47° closed,0.42° out-to-in,13.05° closed,,,-0.0,3.1,6.5,6.5,0,0,16
149,2026-08-09T17:11:13.000Z,Baby Draw,Driver,Default,207.4,220.9,2.5,1.7,-3.2,27.4,6.1,89.6,137.3,1.5,2.28 R,11.6,38.1,3825,391 L,10.0,24.0,-3.0,1.53° open,2.49° in-to-out,0.96° closed,,,2.4,5.8,7.2,3.1,10,10,36.1
