Shot number,Date,Classification,Club type,Club name,Carry,Total,Offline,Offline carry,Shot angle,Peak height,Hang time,Club speed,Ball speed,Smash factor,Push/pull,Launch angle,Landing angle,Backspin,Sidespin,Curve,Curve factor,Angle of attack,Face to target,Club path,Face to path,Face impact X,Face impact Y,Strokes gained,Club score,Target score,Launch score,Direction score,Shape score,Total score
,,,,,[yds],[yds],[yds],[yds],[°],[yds],[seconds],[mph],[mph],,[°],[°],[°],[rpm],[rpm],[yds],,[°],[°],[°],[°],[mm],[mm],,,,,,,
62,2026-08-18T22:30:24.000Z,Push Slice,7 Iron,Default,166.2,171.2,23.3,22.3,11.3,38.6,6.4,84.5,117.4,1.4,4.16 R,23.4,48.1,4748,781 R,10.2,31.0,0.6,4.09° open,0.15° out-to-in,4.24° open,,,0.1,7.9,5.6,6.8,2.6,0,22.8
63,2026-08-18T22:30:24.000Z,Huge Slice,5 Iron,Default,162.9,170.4,36.3,34.0,17.6,26.7,5.7,83.9,119.3,1.4,6.36 R,14.8,41.7,6033,1563 R,15.9,49.0,-5.2,6.72° open,0.72° out-to-in,7.44° open,,,-0.0,5.8,0.7,6.8,0,0,13.3
64,2026-08-18T22:30:24.000Z,Pull Draw,5 Iron,Default,182.4,192.8,20.0,18.3,-9.3,25.0,5.7,88.5,132.5,1.5,2.22 L,10.4,40.5,5151,781 L,11.2,31.0,-5.3,2.76° closed,1.08° in-to-out,3.84° closed,,,0.3,8.6,8.2,5.9,3.8,3,29.5
65,2026-08-18T22:30:24.000Z,Straight Draw,5 Iron,Default,148.9,165.4,4.9,3.9,-3.5,15.2,4.6,79.6,111.3,1.4,0.47 R,11.7,30.1,4223,469 L,5.1,17.0,-4.5,0.3° closed,1.67° in-to-out,1.97° closed,,,0.6,7,0,6.4,8.4,6,27.8
66,2026-08-18T22:30:24.000Z,Straight Draw,5 Iron,Default,144.9,165.4,10.6,8.4,-6.2,14.2,4.3,78.5,110.0,1.4,0.42 L,11.9,28.4,3610,625 L,7.3,25.0,-3.0,1.33° closed,1.39° in-to-out,2.72° closed,,,0.5,6.1,0,5.1,6.9,6,24.1
67,2026-08-18T22:30:24.000Z,Straight Draw,5 Iron,Default,173.3,188.0,14.9,12.7,-8.3,17.7,5.2,87.3,129.5,1.5,0.1 L,7.0,34.3,5098,937 L,12.4,36.0,-5.5,1.19° closed,3.18° in-to-out,4.37° closed,,,0.8,7.3,6.1,5.1,5.3,6,29.9
68,2026-08-18T22:30:24.000Z,Push Slice,5 Iron,Default,180.9,187.6,28.7,27.2,12.4,33.7,6.3,88.5,129.7,1.5,4.83 R,15.1,45.7,5954,1094 R,11.9,33.0,-4.8,4.86° open,0.7° out-to-in,5.56° open,,,0.2,7.3,4.4,6.7,0,0,18.4
69,2026-08-18T22:30:24.000Z,Huge Hook,5 Iron,Default,162.1,173.7,42.0,37.8,-20.8,19.5,5.1,83.0,120.9,1.5,6.06 L,11.7,35.0,4820,10000 L,20.6,64.0,-4.4,13.39° closed,0.88° out-to-in,12.51° closed,,,-0.1,5.4,0,8,0,0,13.4
70,2026-08-18T22:30:24.000Z,Push Slice,5 Iron,Default,181.7,188.6,37.1,34.9,17.9,32.5,6.3,89.3,130.8,1.5,4.23 R,14.3,45.1,6212,1719 R,21.5,59.0,-5.4,4.68° open,2.57° out-to-in,7.25° open,,,0.0,6.4,1,5.9,0,0,13.3
71,2026-08-18T22:30:24.000Z,Straight Fade,5 Iron,Default,188.4,197.0,5.6,5.1,3.3,29.0,6.2,87.7,130.4,1.5,0.16 L,12.6,41.9,5218,313 R,5.6,15.0,-4.7,0.17° closed,1.57° out-to-in,1.4° open,,,1.5,10,10,7.1,8.4,6,41.5
72,2026-08-18T22:30:24.000Z,Top,5 Iron,Default,21.2,104.5,29.8,5.9,16.6,0.4,0.5,76.0,104.0,1.4,15.17 R,5.0,4.7,733,625 L,0.2,4.0,4.1,13° open,9.26° in-to-out,3.74° open,,,-0.4,1.9,0,0.5,0,0,2.4
